DATA,JANELA_15MIN,VALOR_TOTAL_15M
2025-10-25,2025-10-25 22:45:00.000,1855.47
2025-10-25,2025-10-25 23:00:00.000,277.22
2025-10-25,2025-10-25 23:15:00.000,399.51
2025-10-25,2025-10-25 23:30:00.000,558.23
2025-10-25,2025-10-25 23:45:00.000,95.35
2025-10-26,2025-10-26 00:00:00.000,337.92
2025-10-26,2025-10-26 00:15:00.000,35.9
2025-10-26,2025-10-26 00:30:00.000,243.69
2025-10-26,2025-10-26 00:45:00.000,39.9
2025-10-26,2025-10-26 01:00:00.000,94.04
2025-10-26,2025-10-26 01:45:00.000,109.73
2025-10-26,2025-10-26 02:00:00.000,42.5
2025-10-26,2025-10-26 03:30:00.000,190.66
2025-10-26,2025-10-26 04:45:00.000,184.98
2025-10-26,2025-10-26 05:00:00.000,193.74
2025-10-26,2025-10-26 06:30:00.000,83.67
2025-10-26,2025-10-26 06:45:00.000,147.72
2025-10-26,2025-10-26 07:00:00.000,24.23
2025-10-26,2025-10-26 07:15:00.000,289.9
2025-10-26,2025-10-26 07:30:00.000,603.71
2025-10-26,2025-10-26 07:45:00.000,978.94
2025-10-26,2025-10-26 08:00:00.000,4090.66
2025-10-26,2025-10-26 08:15:00.000,3699.06
2025-10-26,2025-10-26 08:30:00.000,5838.78
2025-10-26,2025-10-26 08:45:00.000,2782.66
2025-10-26,2025-10-26 09:00:00.000,6645.02
2025-10-26,2025-10-26 09:15:00.000,5232.37
2025-10-26,2025-10-26 09:30:00.000,4585.49
2025-10-26,2025-10-26 09:45:00.000,4199.56
2025-10-26,2025-10-26 10:00:00.000,3619
2025-10-26,2025-10-26 10:15:00.000,6066.83
2025-10-26,2025-10-26 10:30:00.000,5896.56
2025-10-26,2025-10-26 10:45:00.000,10686.71
2025-10-26,2025-10-26 11:00:00.000,12068.25
2025-10-26,2025-10-26 11:15:00.000,9457.59
2025-10-26,2025-10-26 11:30:00.000,5819.83
2025-10-26,2025-10-26 11:45:00.000,7556.52
2025-10-26,2025-10-26 12:00:00.000,3667.47
2025-10-26,2025-10-26 12:15:00.000,7172.4
2025-10-26,2025-10-26 12:30:00.000,6204.13
2025-10-26,2025-10-26 12:45:00.000,4457.01
2025-10-26,2025-10-26 13:00:00.000,3645.68
2025-10-26,2025-10-26 13:15:00.000,6692.58
2025-10-26,2025-10-26 13:30:00.000,5637.65
2025-10-26,2025-10-26 13:45:00.000,6204.24
2025-10-26,2025-10-26 14:00:00.000,8250.77
2025-10-26,2025-10-26 14:15:00.000,5705.53
2025-10-26,2025-10-26 14:30:00.000,9025.12
2025-10-26,2025-10-26 14:45:00.000,9069.24
2025-10-26,2025-10-26 15:00:00.000,5238.95
2025-10-26,2025-10-26 15:15:00.000,7041.83
2025-10-26,2025-10-26 15:30:00.000,4877.6
2025-10-26,2025-10-26 15:45:00.000,5829.5
2025-10-26,2025-10-26 16:00:00.000,8502.24
2025-10-26,2025-10-26 16:15:00.000,8601.5
2025-10-26,2025-10-26 16:30:00.000,9424.68
2025-10-26,2025-10-26 16:45:00.000,4311.58
2025-10-26,2025-10-26 17:00:00.000,8718.7
2025-10-26,2025-10-26 17:15:00.000,12821.33
2025-10-26,2025-10-26 17:30:00.000,6192.36
2025-10-26,2025-10-26 17:45:00.000,6811.86
2025-10-26,2025-10-26 18:00:00.000,5637.88
2025-10-26,2025-10-26 18:15:00.000,7316.94
2025-10-26,2025-10-26 18:30:00.000,9624.73
2025-10-26,2025-10-26 18:45:00.000,4187.37
2025-10-26,2025-10-26 19:00:00.000,9882.28
2025-10-26,2025-10-26 19:15:00.000,6136.07
2025-10-26,2025-10-26 19:30:00.000,4598
2025-10-26,2025-10-26 19:45:00.000,5869.7
2025-10-26,2025-10-26 20:00:00.000,4140.32
2025-10-26,2025-10-26 20:15:00.000,3836.14
2025-10-26,2025-10-26 20:30:00.000,5275.63
2025-10-26,2025-10-26 20:45:00.000,2276.77
2025-10-26,2025-10-26 21:00:00.000,3155.62
2025-10-26,2025-10-26 21:15:00.000,1848.5
2025-10-26,2025-10-26 21:30:00.000,3281.78
2025-10-26,2025-10-26 21:45:00.000,2757.49
2025-10-26,2025-10-26 22:00:00.000,2280.62
2025-10-26,2025-10-26 22:15:00.000,1266.96
2025-10-26,2025-10-26 22:30:00.000,1181.27
2025-10-26,2025-10-26 22:45:00.000,566.84
2025-10-26,2025-10-26 23:00:00.000,146.58
2025-10-26,2025-10-26 23:15:00.000,66.66
2025-10-26,2025-10-26 23:30:00.000,584.78
2025-10-26,2025-10-26 23:45:00.000,230.53
2025-10-27,2025-10-27 00:00:00.000,154.94
2025-10-27,2025-10-27 00:15:00.000,74.19
2025-10-27,2025-10-27 00:45:00.000,337.9
2025-10-27,2025-10-27 01:00:00.000,231.61
2025-10-27,2025-10-27 01:15:00.000,58.91
2025-10-27,2025-10-27 02:00:00.000,76.99
2025-10-27,2025-10-27 02:30:00.000,12.7
2025-10-27,2025-10-27 03:00:00.000,281.31
2025-10-27,2025-10-27 04:00:00.000,37.8
2025-10-27,2025-10-27 05:45:00.000,18.98
2025-10-27,2025-10-27 06:00:00.000,40.73
2025-10-27,2025-10-27 06:15:00.000,171.87
2025-10-27,2025-10-27 06:30:00.000,276.8
2025-10-27,2025-10-27 06:45:00.000,893.41
2025-10-27,2025-10-27 07:00:00.000,2966.39
2025-10-27,2025-10-27 07:15:00.000,7311.03
2025-10-27,2025-10-27 07:30:00.000,6555.7
2025-10-27,2025-10-27 07:45:00.000,7461.59
2025-10-27,2025-10-27 08:00:00.000,5704.58
2025-10-27,2025-10-27 08:15:00.000,5419.06
2025-10-27,2025-10-27 08:30:00.000,2784.59
2025-10-27,2025-10-27 08:45:00.000,6913.85
2025-10-27,2025-10-27 09:00:00.000,10695.45
2025-10-27,2025-10-27 09:15:00.000,7661.26
2025-10-27,2025-10-27 09:30:00.000,7668.92
